Year,crimes.total,crimes.penal.code,crimes.person,murder,assault,sexual.offenses,rape,stealing.general,burglary,house.theft,vehicle.theft,out.of.vehicle.theft,shop.theft,robbery,fraud,criminal.damage,other.penal.crimes,narcotics,drunk.driving,population,crimes.total_lag1,crimes.total_lag2,crimes.total_growth
1972-01-01,-0.3757975364490232,-0.3724939908569676,-0.714787570039817,-1.0536243799027238,-0.7154419599312875,-0.9068008969511296,-0.6865328029144341,-0.0219661256900403,0.7221951917535988,-0.2510384755652938,-0.1936301485171415,-0.9229436892311306,-1.3460051434376377,-0.656186404376854,-0.3534027476989898,-0.7050215646484896,-0.3444951099285674,-0.5057901012374169,-0.0418795930676943,-0.3085699050901462,-0.300650318747491,-0.4597715701980369,0.2499489041441747
1973-01-01,-0.4841049549775806,-0.5530893885936081,-0.7455255571971073,-1.0536243799027238,-0.7440444703306,-0.885867403002625,-0.6865328029144341,-0.3393130672958531,0.3802030234603379,-0.6286690029113767,-0.4461478164286717,-1.2655317596027504,-1.0831938192494013,-0.6277315405865306,-0.4273276503324179,-0.6600717103299347,-0.0818787636198349,-0.4279288930761352,0.2466754053218042,-0.2875165483679378,-0.3757975364490232,-0.300650318747491,0.2882068348610616
1974-01-01,-0.431621183884447,-0.4791071617949533,-0.6498962638188708,0.3371598015688717,-0.6439356839330063,-0.7183994514145885,-0.6339065950255227,-0.2954246604780279,0.3559326115169452,-0.4162518312792052,-0.4900639325871986,-1.122122799912305,-2.012201290798516,-0.5708218130058836,-0.3177148636690591,-0.5302165756318874,-0.1408621141276785,-0.515945910997584,0.4592948778193295,-0.2538311776124042,-0.4841049549775806,-0.3757975364490232,-0.10841403409218198
1975-01-01,-0.2059409681839727,-0.2380319969035188,-0.5781742937851934,-1.0536243799027238,-0.5724294079347252,-0.885867403002625,-0.5812803871366115,0.0619523664671198,0.8611984601566661,0.8346492905546948,-0.0728608290811924,-0.5219297463930329,-1.4132359472997444,-0.5423669492155601,-0.2947726525069607,-0.3520819677768735,-0.0172779511588632,-0.4279288930761352,0.5959788244248815,-0.2089173499383595,-0.431621183884447,-0.4841049549775806,-0.522866402592726
1976-01-01,-0.0868982328409107,-0.1083521240739373,-0.5884202895042902,0.3371598015688717,-0.5831553493344673,-0.9696013787966432,-0.5812803871366115,0.2659611146422851,1.2715890621085797,1.4246969895329495,0.3882583905833406,0.0118702702325144,-1.364340817218212,-0.4285474940542661,-0.1979055387114343,-0.3520819677768735,0.0374923028841343,-0.5667249597984199,0.4137335622841455,-0.1682141936087564,-0.2059409681839727,-0.431621183884447,-0.5780430013163669
1977-01-01,0.0354843788444416,-0.0037080618340148,-0.4962063280324191,0.3371598015688717,-0.4901971905367017,-0.885867403002625,-0.5286541792477001,0.371100374931141,1.4061795283401208,1.4010950815738192,0.4266849922220517,0.0862304715534861,-1.058746254208635,-0.200908583731678,-0.0908418866216419,-0.2072435483059746,0.2355078367318952,-0.4482405125964695,0.6567272451384601,-0.1261074801643395,-0.0868982328409107,-0.2059409681839727,-1.408344078865272
1978-01-01,-0.090238109183201,-0.1221358849603787,-0.5269443151897094,-1.0536243799027238,-0.5259503285358423,-0.8649339090541204,-0.5286541792477001,0.2037456808016319,1.1039025795905937,1.0942702781051268,0.0424189758349408,-0.1182600820791861,-1.0770819279892097,-0.1724537199413545,-0.2692813067712958,-0.2305508801748549,0.0880494604622861,-0.4550110524365809,0.7326627710304334,-0.092422109408806,0.0354843788444416,-0.0868982328409107,-3.543037587857797
1979-01-01,-0.0582707213355651,-0.0779715898752502,-0.5132829875642471,0.3371598015688717,-0.5152243871361002,-0.8649339090541204,-0.4760279713587887,0.1584104034293729,0.969312113359052,0.0557863279033986,-0.2704833517945638,-0.0757685384672022,-1.0770819279892097,-0.3147280388929721,0.3144705105754291,-0.242204546109295,0.0543446887435183,-0.3771498442752993,0.5504175088896975,-0.0671580813421558,-0.090238109183201,0.0354843788444416,-0.35425595834167867
1980-01-01,0.259017531182015,0.1296287271491122,-0.4483916813433009,0.3371598015688717,-0.4508687387376471,-0.8021334272086067,-0.4760279713587887,0.3122609723841666,0.958280107930237,0.8110473825955646,-0.2649938372747479,0.0357717635142553,-0.8081587125407818,-0.200908583731678,1.239806360780063,-0.2804951627510269,0.8857290578064575,1.1191394603893314,0.5352304037113028,-0.0447011675051335,-0.0582707213355651,-0.090238109183201,-5.445071645679553
1981-01-01,0.2773868510646117,0.1254092085104057,-0.4654683408751288,0.3371598015688717,-0.4687453077372174,-0.7811999332601022,-0.5286541792477001,0.2944162355461499,0.8788496688427699,0.7166397507590438,-0.3747841276710653,-0.1793416760214129,-0.6431376485156101,-0.2578183113123251,1.1174479012488716,-0.2055787388867688,1.0149306827284008,1.4475106426347368,0.4137335622841455,-0.0306655963569945,0.259017531182015,-0.0582707213355651,0.07091921461365613
1982-01-01,0.4133675307150032,0.2759053732909394,-0.3015324093695804,0.3371598015688717,-0.3007055591412566,-0.5927984877235611,-0.4760279713587887,0.463700090414904,0.9295968938153184,0.999862646268606,-0.1771616049576939,0.0543618138444982,-0.1969695865216274,-0.1724537199413545,1.0282281911740447,-0.0990309360576017,1.0626791093299883,1.4881338816754055,0.4441077726409349,-0.023647810782925,0.2773868510646117,0.259017531182015,0.4902203515721715
1983-01-01,0.3413216267598835,0.2539638763696654,-0.2503024307740965,-1.0536243799027238,-0.2578017935422879,-0.6765324635175793,-0.4760279713587887,0.4540542867186787,0.9428353003298962,1.8023275168790325,-0.2320567501558526,0.0410832064657533,-0.0625079787974135,-0.1724537199413545,0.8370430981565583,-0.1056901737344247,0.7495056054431043,0.6519722114216414,0.6719143503168549,-0.0180335823236694,0.4133675307150032,0.2773868510646117,-0.1742901863397488
